topic,topic_terms
0,"['maximum', 'net', 'grade', 'bank', 'data', 'offer', 'cancer', 'apply', 'unknown', 'issue']"
1,"['n', 'th', 'l', 'k', 'c', 'm', 'ban', 'p', 'every', 'r']"
2,"['march', 'june', 'august', 'new', 'club', 'marker', 'gambling', 'park', 'city', 'south']"
3,"['di', 'per', 'led', 'repair', 'e', 'monitor', 'che', 'con', 'stock', 'model']"
4,"['translate', 'lot', 'like', 'said', 'reply', 'one', 'really', 'love', 'good', 'think']"
5,"['health', 'reply', 'care', 'cheese', 'loyalty', 'us', 'also', 'best', 'food', 'get']"
6,"['block', 'color', 'margin', 'padding', 'width', 'non', 'border', 'flex', 'background', 'spacing']"
7,"['de', 'la', 'en', 'y', 'n', 'el', 'un', 'd', 'para', 'l']"
8,"['h', 'die', 'k', 'c', 'l', 'v', 'r', 'b', 'n', 'f']"
9,"['di', 'o', 'de', 'e', 'da', 'la', 'yang', 'para', 'per', 'un']"
10,"['data', 'business', 'insurance', 'company', 'type', 'information', 'product', 'motor', 'search', 'security']"
11,"['na', 'w', 'z', 'od', 'si', 'za', 'pro', 'po', 'jest', 'v']"
12,"['consent', 'necessary', 'escort', 'thing', 'user', 'kill', 'used', 'ration', 'yoga', 'performance']"
13,"['dating', 'review', 'payday', 'van', 'het', 'de', 'slot', 'escort', 'hookup', 'en']"
14,"['function', 'e', 'return', 'array', 'n', 'o', 'width', 'null', 'data', 'height']"
15,"['casino', 'motorcycle', 'til', 'oil', 'sale', 'bonus', 'mac', 'char', 'khu', 'develop']"
16,"['mar', 'news', 'music', 'school', 'ago', 'university', 'community', 'program', 'film', 'education']"
17,"['null', 'id', 'name', 'employer', 'false', 'vacancy', 'title', 'notification', 'true', 'cart']"
18,"['air', 'book', 'sie', 'steel', 'rung', 'die', 'fiction', 'solar', 'pants', 'w']"
19,"['depth', 'array', 'slug', 'oil', 'maximum', 'board', 'forum', 'post', 'administrator', 'add']"
